"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 00:00","2013","08","01","00:00","19.7","","15.6","","77","","","","22","","5","","16.1","","99.28","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 01:00","2013","08","01","01:00","18.7","","15.8","","83","","","","19","","5","","12.9","","99.29","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 02:00","2013","08","01","02:00","17.7","","16.2","","91","","","","19","","5","","16.1","","99.27","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 03:00","2013","08","01","03:00","17.5","","16.0","","91","","","","","M","4","","16.1","","99.25","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 04:00","2013","08","01","04:00","16.4","","15.8","","96","","","","","","0","","16.1","","99.18","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 05:00","2013","08","01","05:00","16.2","","15.7","","97","","","","12","","4","","16.1","","99.09","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 06:00","2013","08","01","06:00","16.1","","15.8","","98","","","","","M","4","","16.1","","98.98","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 07:00","2013","08","01","07:00","16.0","","15.8","","99","","","","31","","9","","8.1","","98.92","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 08:00","2013","08","01","08:00","15.5","","15.5","","100","","","","","","0","","4.8","","98.89","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 09:00","2013","08","01","09:00","15.5","","15.5","","100","","","","6","","9","","3.2","","98.81","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 10:00","2013","08","01","10:00","15.4","","15.4","","100","","","","4","","9","","4.8","","98.74","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 11:00","2013","08","01","11:00","15.6","","15.6","","100","","","","9","","11","","6.4","","98.64","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 12:00","2013","08","01","12:00","16.2","","16.2","","100","","","","9","","5","","9.7","","98.60","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 13:00","2013","08","01","13:00","16.8","","16.8","","100","","","","1","","5","","8.1","","98.59","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 14:00","2013","08","01","14:00","17.3","","17.3","","100","","","","28","","9","","12.9","","98.61","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 15:00","2013","08","01","15:00","19.7","","18.6","","94","","","","31","","15","","16.1","","98.59","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 16:00","2013","08","01","16:00","20.9","","17.8","","82","","","","31","","21","","16.1","","98.62","","27","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 17:00","2013","08","01","17:00","22.5","","17.3","","72","","","","33","","18","","16.1","","98.65","","28","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 18:00","2013","08","01","18:00","23.0","","16.2","","65","","","","31","","26","","16.1","","98.64","","28","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 19:00","2013","08","01","19:00","24.2","","15.2","","57","","","","28","","22","","16.1","","98.65","","28","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 20:00","2013","08","01","20:00","24.0","","15.3","","58","","","","29","","18","","16.1","","98.65","","28","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2013-08-01 21:00","2013","08","01","21:00","24.2","","15.1","","56","","","","30","","18","","16.1","","98.66","","28","","","","NA"
