"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 00:00","2014","10","01","00:00","14.3","","13.3","","94","","0.0","","","M","","M","","","97.02","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 01:00","2014","10","01","01:00","14.0","","13.1","","95","","0.0","","","M","","M","","","97.07","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 02:00","2014","10","01","02:00","14.6","","13.6","","94","","0.0","","","M","","M","","","97.12","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 03:00","2014","10","01","03:00","14.1","","13.3","","94","","0.0","","","M","","M","","","97.14","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 04:00","2014","10","01","04:00","14.4","","13.5","","95","","0.0","","","M","","M","","","97.18","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 05:00","2014","10","01","05:00","14.8","","13.3","","91","","0.0","","","M","","M","","","97.22","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 06:00","2014","10","01","06:00","14.3","","12.8","","91","","0.0","","","M","","M","","","97.21","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 07:00","2014","10","01","07:00","14.4","","13.0","","92","","0.0","","","M","","M","","","97.23","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 08:00","2014","10","01","08:00","14.0","","13.0","","94","","0.0","","","M","","M","","","97.22","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 09:00","2014","10","01","09:00","13.6","","12.4","","93","","0.0","","","M","","M","","","97.25","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 10:00","2014","10","01","10:00","13.1","","11.9","","93","","0.0","","","M","","M","","","97.27","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 11:00","2014","10","01","11:00","12.8","","11.4","","91","","0.0","","","M","","M","","","97.30","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 12:00","2014","10","01","12:00","12.8","","11.5","","92","","0.0","","","M","","M","","","97.34","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 13:00","2014","10","01","13:00","13.0","","11.7","","92","","0.0","","","M","","M","","","97.40","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 14:00","2014","10","01","14:00","13.0","","11.8","","93","","0.0","","","M","","M","","","97.44","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 15:00","2014","10","01","15:00","13.9","","12.3","","90","","0.0","","","M","","M","","","97.45","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 16:00","2014","10","01","16:00","14.0","","11.9","","87","","0.0","","","M","","M","","","97.45","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 17:00","2014","10","01","17:00","14.4","","12.3","","87","","0.0","","","M","","M","","","97.45","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 18:00","2014","10","01","18:00","14.4","","12.5","","89","","0.0","","","M","","M","","","97.43","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 19:00","2014","10","01","19:00","14.7","","12.5","","86","","0.0","","","M","","M","","","97.41","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2014-10-01 20:00","2014","10","01","20:00","14.8","","12.9","","88","","0.0","","","M","","M","","","97.38","","","","","","NA"
