"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 00:00","2012","07","01","00:00","23.6","","11.9","","48","","","","29","","22","","","","97.39","","26","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 01:00","2012","07","01","01:00","20.7","","12.6","","60","","","","29","","11","","","","97.44","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 02:00","2012","07","01","02:00","19.0","","12.4","","66","","","","32","","7","","","","97.47","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 03:00","2012","07","01","03:00","19.0","","13.4","","70","","","","30","","11","","","","97.48","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 04:00","2012","07","01","04:00","18.2","","12.7","","70","","","","27","","9","","","","97.51","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 05:00","2012","07","01","05:00","16.9","","12.4","","75","","","","28","","11","","","","97.51","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 06:00","2012","07","01","06:00","16.8","","12.0","","73","","","","28","","11","","","","97.53","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 07:00","2012","07","01","07:00","15.6","","11.8","","78","","","","28","","11","","","","97.56","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 08:00","2012","07","01","08:00","14.3","","11.5","","83","","","","28","","9","","","","97.57","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 09:00","2012","07","01","09:00","14.4","","11.9","","85","","","","28","","9","","","","97.64","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 10:00","2012","07","01","10:00","16.3","","13.4","","83","","","","30","","11","","","","97.69","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-07-01 11:00","2012","07","01","11:00","16.6","","13.8","","84","","","","31","","7","","","","97.76","","","","","","NA"
