"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 00:00","2020","08","01","00:00","26.6","","14.2","","46","","0.0","","32","","9","","16.1","","98.95","","30","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 01:00","2020","08","01","01:00","20.3","","16.5","","79","","0.0","","","M","4","","16.1","","98.99","","25","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 02:00","2020","08","01","02:00","19.1","","15.5","","80","","0.0","","26","","5","","16.1","","99.06","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 03:00","2020","08","01","03:00","17.2","","15.9","","92","","0.0","","","","0","","16.1","","99.10","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 04:00","2020","08","01","04:00","16.8","","15.8","","94","","0.0","","","","0","","16.1","","99.10","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 05:00","2020","08","01","05:00","14.6","","14.1","","97","","0.0","","","","0","","16.1","","99.11","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 06:00","2020","08","01","06:00","14.3","","14.1","","99","","0.0","","","","0","","16.1","","99.13","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 07:00","2020","08","01","07:00","13.9","","13.8","","99","","0.0","","","","0","","16.1","","99.11","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 08:00","2020","08","01","08:00","13.3","","13.2","","99","","0.0","","","","0","","16.1","","99.11","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 09:00","2020","08","01","09:00","12.8","","12.7","","99","","0.0","","","","0","","16.1","","99.13","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 10:00","2020","08","01","10:00","12.4","","12.3","","99","","0.0","","","","0","","16.1","","99.16","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 11:00","2020","08","01","11:00","13.9","","13.8","","99","","0.0","","","","0","","16.1","","99.18","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 12:00","2020","08","01","12:00","18.4","","16.3","","87","","0.0","","","","0","","16.1","","99.22","","","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 13:00","2020","08","01","13:00","22.0","","16.8","","72","","0.0","","6","","8","","16.1","","99.23","","27","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 14:00","2020","08","01","14:00","25.5","","17.8","","62","","0.0","","16","","8","","16.1","","99.24","","31","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 15:00","2020","08","01","15:00","27.0","","17.7","","56","","0.0","","16","","8","","16.1","","99.25","","33","","","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2020-08-01 16:00","2020","08","01","16:00","27.9","","16.4","","49","","0.0","","17","","9","","16.1","","99.22","","33","","","","NA"
