"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 00:00","2013","08","01","00:00","16.6","","15.0","","90","","","","","","0","","","","97.18","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 01:00","2013","08","01","01:00","15.8","","14.4","","91","","","","11","","7","","","","97.10","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 02:00","2013","08","01","02:00","15.7","","14.6","","93","","","","10","","6","","","","97.07","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 03:00","2013","08","01","03:00","15.9","","15.0","","94","","","","10","","9","","","","96.98","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 04:00","2013","08","01","04:00","16.1","","15.1","","94","","","","9","","11","","","","96.89","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 05:00","2013","08","01","05:00","15.8","","14.9","","94","","","","10","","13","","","","96.81","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 06:00","2013","08","01","06:00","15.8","","14.9","","94","","","","10","","17","","","","96.66","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 07:00","2013","08","01","07:00","16.1","","15.3","","95","","","","28","","11","","","","96.64","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 08:00","2013","08","01","08:00","15.7","","14.9","","95","","","","5","","13","","","","96.59","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 09:00","2013","08","01","09:00","15.7","","14.9","","95","","","","4","","6","","","","96.57","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 10:00","2013","08","01","10:00","15.0","","14.2","","95","","","","7","","4","","","","96.56","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 11:00","2013","08","01","11:00","14.3","","13.6","","96","","","","27","","6","","","","96.58","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 12:00","2013","08","01","12:00","15.7","","15.0","","96","","","","30","","11","","","","96.64","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 13:00","2013","08","01","13:00","16.3","","15.3","","94","","","","31","","13","","","","96.66","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 14:00","2013","08","01","14:00","17.2","","16.1","","93","","","","31","","19","","","","96.65","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 15:00","2013","08","01","15:00","18.6","","16.7","","89","","","","31","","17","","","","96.68","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 16:00","2013","08","01","16:00","20.4","","17.2","","82","","","","30","","17","","","","96.71","","26","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 17:00","2013","08","01","17:00","20.8","","13.8","","64","","","","30","","19","","","","96.71","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2013-08-01 18:00","2013","08","01","18:00","21.6","","14.0","","62","","","","29","","20","","","","96.72","","25","","","","NA"
