"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 00:00","2022","11","01","00:00","10.1","","9.3","","95","","0.5","","","","0","","11.3","","98.91","","","","","","Rain"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 01:00","2022","11","01","01:00","10.3","","10.0","","98","","1.0","","","","0","","4.0","","98.91","","","","","","Rain,Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 02:00","2022","11","01","02:00","9.9","","9.8","","99","","0.5","","5","","4","","4.8","","98.89","","","","","","Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 03:00","2022","11","01","03:00","9.8","","9.7","","99","","0.2","","","","0","","2.8","","98.91","","","","","","Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 04:00","2022","11","01","04:00","10.0","","9.9","","99","","0.0","","2","","4","","2.0","","98.92","","","","","","Rain,Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 05:00","2022","11","01","05:00","10.0","","9.9","","99","","0.8","","","","0","","2.0","","98.91","","","","","","Rain,Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 06:00","2022","11","01","06:00","10.1","","10.0","","99","","0.5","","","","0","","2.0","","98.93","","","","","","Rain,Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 07:00","2022","11","01","07:00","10.2","","10.2","","100","","0.2","","","","0","","2.4","","98.94","","","","","","Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 08:00","2022","11","01","08:00","10.2","","10.2","","100","","0.2","","","","0","","0.4","","98.95","","","","","","Fog"
"-78.36","44.23","PETERBOROUGH A","6166415","2022-11-01 09:00","2022","11","01","09:00","10.3","","10.3","","100","","0.0","","","","0","","1.2","","98.99","","","","","","Fog"
