"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 00:00","2022","06","01","00:00","25.9","","15.7","","53","","0.0","","23","","9","","16.1","","99.53","","30","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 01:00","2022","06","01","01:00","25.9","","15.7","","53","","0.0","","22","","8","","16.1","","99.53","","30","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 02:00","2022","06","01","02:00","25.6","","16.5","","57","","0.0","","","","0","","16.1","","99.59","","31","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 03:00","2022","06","01","03:00","22.2","","17.0","","72","","0.0","","","","0","","16.1","","99.58","","27","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 04:00","2022","06","01","04:00","20.5","","17.3","","82","","0.0","","1","","4","","16.1","","99.59","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 05:00","2022","06","01","05:00","20.6","","17.5","","82","","0.0","","","","0","","16.1","","99.54","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 06:00","2022","06","01","06:00","20.1","","17.4","","84","","0.0","","10","","4","","16.1","","99.50","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 07:00","2022","06","01","07:00","20.2","","17.0","","82","","0.0","","12","","5","","16.1","","99.47","","25","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 08:00","2022","06","01","08:00","20.1","","16.2","","78","","0.0","","13","","4","","16.1","","99.41","","25","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 09:00","2022","06","01","09:00","19.6","","15.5","","77","","0.0","","18","","5","","16.1","","99.36","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 10:00","2022","06","01","10:00","20.0","","17.8","","87","","1.8","","30","","11","","11.3","","99.37","","26","","","","Thunderstorms,Rain"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 11:00","2022","06","01","11:00","20.3","","18.9","","91","","0.0","","36","","11","","16.1","","99.45","","27","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 12:00","2022","06","01","12:00","19.6","","18.1","","91","","0.0","","9","","18","","16.1","","99.51","","","","","","Thunderstorms"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 13:00","2022","06","01","13:00","19.3","","17.9","","92","","0.0","","11","","13","","16.1","","99.52","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 14:00","2022","06","01","14:00","17.7","","15.9","","89","","0.2","","11","","18","","16.1","","99.53","","","","","","Rain"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 15:00","2022","06","01","15:00","17.1","","16.0","","93","","0.0","","10","","9","","16.1","","99.56","","","","","","Thunderstorms"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 16:00","2022","06","01","16:00","16.0","","15.7","","98","","7.1","","10","","22","","16.1","","99.47","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 17:00","2022","06","01","17:00","17.0","","16.7","","98","","0.2","","11","","8","","12.9","","99.50","","","","","","Rain"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 18:00","2022","06","01","18:00","20.0","","17.8","","87","","0.2","","12","","11","","16.1","","99.33","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 19:00","2022","06","01","19:00","20.6","","17.0","","80","","0.0","","","M","8","","16.1","","99.31","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 20:00","2022","06","01","20:00","20.3","","17.5","","84","","0.8","","","M","4","","4.8","","99.31","","26","","","","Heavy Rain"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 21:00","2022","06","01","21:00","20.9","","19.1","","89","","1.8","","","","0","","16.1","","99.26","","28","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 22:00","2022","06","01","22:00","22.0","","19.5","","86","","0.0","","20","","5","","16.1","","99.24","","29","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-01 23:00","2022","06","01","23:00","21.2","","13.9","","63","","0.2","","33","","18","","16.1","","99.24","","25","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 00:00","2022","06","02","00:00","19.5","","12.4","","63","","0.0","","33","","24","","16.1","","99.22","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 01:00","2022","06","02","01:00","17.7","","12.2","","70","","0.0","","33","","15","","16.1","","99.28","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 02:00","2022","06","02","02:00","15.8","","12.2","","79","","0.0","","30","","9","","16.1","","99.28","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 03:00","2022","06","02","03:00","14.4","","12.3","","87","","0.0","","29","","9","","16.1","","99.30","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 04:00","2022","06","02","04:00","14.2","","10.2","","76","","0.0","","31","","18","","16.1","","99.35","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 05:00","2022","06","02","05:00","11.8","","8.7","","81","","0.0","","29","","9","","16.1","","99.36","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 06:00","2022","06","02","06:00","11.6","","8.3","","80","","0.0","","33","","11","","16.1","","99.31","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 07:00","2022","06","02","07:00","11.0","","8.1","","82","","0.0","","29","","9","","16.1","","99.23","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 08:00","2022","06","02","08:00","10.7","","7.6","","81","","0.0","","29","","8","","16.1","","99.24","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 09:00","2022","06","02","09:00","11.2","","7.2","","76","","0.0","","32","","11","","16.1","","99.21","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 10:00","2022","06","02","10:00","11.2","","6.9","","75","","0.0","","32","","15","","16.1","","99.23","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 11:00","2022","06","02","11:00","11.8","","7.5","","75","","0.0","","24","","5","","16.1","","99.29","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 12:00","2022","06","02","12:00","12.9","","8.0","","72","","0.0","","","","0","","16.1","","99.29","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 13:00","2022","06","02","13:00","14.9","","9.3","","69","","0.0","","3","","8","","16.1","","99.28","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 14:00","2022","06","02","14:00","15.8","","10.3","","70","","0.0","","","M","4","","16.1","","99.26","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 15:00","2022","06","02","15:00","17.4","","11.7","","69","","0.0","","28","","8","","16.1","","99.21","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 16:00","2022","06","02","16:00","19.9","","11.6","","58","","0.0","","","","0","","16.1","","99.21","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 17:00","2022","06","02","17:00","18.9","","11.3","","61","","0.0","","18","","13","","16.1","","99.17","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 18:00","2022","06","02","18:00","18.4","","11.4","","63","","0.0","","20","","8","","16.1","","99.16","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 19:00","2022","06","02","19:00","18.2","","10.9","","62","","0.0","","23","","9","","16.1","","99.17","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 20:00","2022","06","02","20:00","18.5","","10.8","","61","","0.0","","27","","8","","16.1","","99.15","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 21:00","2022","06","02","21:00","19.2","","12.2","","64","","0.0","","30","","17","","16.1","","99.12","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2022-06-02 22:00","2022","06","02","22:00","18.0","","12.4","","69","","0.0","","32","","15","","16.1","","99.12","","","","","","NA"
