"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 00:00","2016","06","01","00:00","20.6","","9.7","","49","","0.0","","33","","15","","16.1","","100.03","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 01:00","2016","06","01","01:00","18.6","","9.7","","56","","0.0","","33","","8","","16.1","","100.08","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 02:00","2016","06","01","02:00","16.4","","9.7","","64","","0.0","","1","","11","","16.1","","100.15","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 03:00","2016","06","01","03:00","16.4","","8.0","","57","","0.0","","3","","9","","16.1","","100.20","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 04:00","2016","06","01","04:00","16.0","","7.5","","57","","0.0","","3","","13","","16.1","","100.27","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 05:00","2016","06","01","05:00","14.7","","7.6","","62","","0.0","","4","","9","","16.1","","100.32","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 06:00","2016","06","01","06:00","13.9","","7.2","","64","","0.0","","7","","15","","16.1","","100.34","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 07:00","2016","06","01","07:00","12.4","","6.7","","68","","0.0","","3","","9","","16.1","","100.36","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 08:00","2016","06","01","08:00","12.0","","6.7","","70","","0.0","","5","","8","","16.1","","100.41","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 09:00","2016","06","01","09:00","9.9","","6.6","","80","","0.0","","36","","8","","16.1","","100.44","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 10:00","2016","06","01","10:00","9.3","","6.9","","85","","0.0","","1","","9","","16.1","","100.50","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 11:00","2016","06","01","11:00","12.1","","7.3","","72","","0.0","","5","","13","","16.1","","100.51","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 12:00","2016","06","01","12:00","14.0","","7.5","","65","","0.0","","8","","13","","16.1","","100.50","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 13:00","2016","06","01","13:00","14.7","","7.8","","63","","0.0","","10","","11","","16.1","","100.51","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 14:00","2016","06","01","14:00","16.0","","8.4","","60","","0.0","","","M","9","","16.1","","100.47","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 15:00","2016","06","01","15:00","16.3","","8.5","","60","","0.0","","16","","13","","16.1","","100.42","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 16:00","2016","06","01","16:00","15.9","","8.2","","60","","0.0","","17","","15","","16.1","","100.40","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 17:00","2016","06","01","17:00","17.2","","9.2","","59","","0.0","","16","","13","","16.1","","100.36","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 18:00","2016","06","01","18:00","18.0","","9.4","","57","","0.0","","15","","17","","16.1","","100.29","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 19:00","2016","06","01","19:00","18.6","","9.9","","56","","0.0","","13","","15","","16.1","","100.22","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 20:00","2016","06","01","20:00","19.6","","10.3","","55","","0.0","","13","","17","","16.1","","100.18","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 21:00","2016","06","01","21:00","19.6","","10.8","","56","","0.0","","13","","13","","16.1","","100.11","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 22:00","2016","06","01","22:00","18.5","","10.7","","60","","0.0","","11","","13","","16.1","","100.08","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-01 23:00","2016","06","01","23:00","18.4","","11.0","","62","","0.0","","11","","15","","16.1","","100.01","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 00:00","2016","06","02","00:00","17.8","","11.2","","65","","0.0","","11","","9","","16.1","","100.01","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 01:00","2016","06","02","01:00","16.1","","10.9","","71","","0.0","","10","","5","","16.1","","99.98","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 02:00","2016","06","02","02:00","15.1","","10.5","","74","","0.0","","8","","8","","16.1","","99.98","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 03:00","2016","06","02","03:00","15.6","","9.6","","67","","0.0","","7","","9","","16.1","","99.95","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 04:00","2016","06","02","04:00","14.6","","9.9","","73","","0.0","","9","","8","","16.1","","99.88","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 05:00","2016","06","02","05:00","15.4","","9.7","","69","","0.0","","9","","4","","16.1","","99.83","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 06:00","2016","06","02","06:00","16.0","","10.1","","68","","0.0","","9","","5","","16.1","","99.73","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 07:00","2016","06","02","07:00","16.2","","9.9","","66","","0.0","","4","","5","","16.1","","99.66","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 08:00","2016","06","02","08:00","17.1","","9.6","","61","","0.0","","13","","4","","16.1","","99.64","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 09:00","2016","06","02","09:00","16.3","","11.2","","71","","0.0","","1","","8","","16.1","","99.67","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 10:00","2016","06","02","10:00","16.4","","12.3","","76","","0.0","","36","","9","","16.1","","99.68","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 11:00","2016","06","02","11:00","17.3","","12.8","","74","","0.0","","","","0","","16.1","","99.72","","","","","","Rain"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 12:00","2016","06","02","12:00","17.0","","14.6","","86","","0.0","","","M","4","","16.1","","99.73","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 13:00","2016","06","02","13:00","18.3","","14.6","","79","","0.0","","19","","8","","16.1","","99.80","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 14:00","2016","06","02","14:00","17.8","","14.0","","78","","0.0","","17","","8","","16.1","","99.81","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2016-06-02 15:00","2016","06","02","15:00","20.8","","14.4","","66","","0.0","","17","","8","","16.1","","99.78","","","","","","NA"
