"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 00:00","2012","03","01","00:00","-2.1","","-3.2","","92","","","","10","","11","","","","97.10","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 01:00","2012","03","01","01:00","-3.0","","-4.2","","91","","","","9","","9","","","","97.03","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 02:00","2012","03","01","02:00","-3.6","","-4.8","","91","","","","9","","7","","","","97.02","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 03:00","2012","03","01","03:00","-3.8","","-5.0","","91","","","","9","","7","","","","96.93","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 04:00","2012","03","01","04:00","-4.0","","-5.2","","91","","","","8","","7","","","","96.80","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 05:00","2012","03","01","05:00","-3.7","","-4.8","","92","","","","12","","6","","","","96.91","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 06:00","2012","03","01","06:00","-3.8","","-4.7","","93","","","","10","","7","","","","96.70","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 07:00","2012","03","01","07:00","-4.0","","-4.9","","93","","","","9","","9","","","","96.59","","","","-8","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 08:00","2012","03","01","08:00","-4.0","","-4.9","","93","","","","9","","6","","","","96.56","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 09:00","2012","03","01","09:00","-3.9","","-4.8","","93","","","","10","","4","","","","96.56","","","","-6","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 10:00","2012","03","01","10:00","-3.9","","-4.9","","93","","","","11","","6","","","","96.52","","","","-7","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 11:00","2012","03","01","11:00","-3.7","","-4.7","","93","","","","","","0","","","","96.61","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 12:00","2012","03","01","12:00","-3.9","","-4.8","","93","","","","","","0","","","","96.65","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 13:00","2012","03","01","13:00","-3.7","","-4.8","","92","","","","6","","4","","","","96.68","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 14:00","2012","03","01","14:00","-3.5","","-4.7","","91","","","","6","","4","","","","96.74","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 15:00","2012","03","01","15:00","-3.1","","-4.4","","91","","","","8","","4","","","","96.81","","","","-5","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 16:00","2012","03","01","16:00","-2.9","","-4.3","","90","","","","9","","4","","","","96.88","","","","-4","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 17:00","2012","03","01","17:00","-2.7","","-4.1","","90","","","","","","0","","","","96.94","","","","","","NA"
"-79.55","44.48","BARRIE-ORO","6117700","2012-03-01 18:00","2012","03","01","18:00","-2.4","","-3.7","","91","","","","","","0","","","","96.96","","","","","","NA"
