"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 00:00","2017","03","01","00:00","6.6","","4.5","","87","","0.7","","14","","7","","","","96.46","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 01:00","2017","03","01","01:00","6.1","","4.9","","92","","0.9","","8","","7","","","","96.43","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 02:00","2017","03","01","02:00","6.4","","5.6","","95","","2.7","","15","","12","","","","96.29","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 03:00","2017","03","01","03:00","6.9","","6.1","","95","","0.0","","18","","13","","","","96.22","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 04:00","2017","03","01","04:00","7.5","","6.8","","95","","0.9","","18","","9","","","","96.12","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 05:00","2017","03","01","05:00","9.9","","9.2","","96","","4.6","","20","","21","","","","96.02","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 06:00","2017","03","01","06:00","9.6","","8.9","","95","","5.5","","20","","6","","","","95.85","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 07:00","2017","03","01","07:00","9.5","","8.8","","96","","3.0","","15","","14","","","","95.70","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 08:00","2017","03","01","08:00","9.4","","8.8","","96","","7.3","","15","","14","","","","95.42","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 09:00","2017","03","01","09:00","9.8","","9.2","","96","","1.1","","18","","15","","","","95.30","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 10:00","2017","03","01","10:00","10.2","","9.5","","95","","0.0","","20","","14","","","","95.18","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 11:00","2017","03","01","11:00","10.3","","9.3","","94","","0.0","","21","","17","","","","95.22","","","","","","NA"
"-80.42","43.65","ELORA RCS","6142286","2017-03-01 12:00","2017","03","01","12:00","9.8","","8.7","","93","","1.1","","18","","20","","","","94.92","","","","","","NA"
