"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 00:00","2015","02","01","00:00","-9.8","","-10.9","","92","","0.0","","17","","8","","16.1","","99.80","","","","-14","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 01:00","2015","02","01","01:00","-9.3","","-10.2","","93","","0.0","","19","","9","","16.1","","99.73","","","","-14","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 02:00","2015","02","01","02:00","-8.5","","-9.4","","93","","0.0","","18","","9","","16.1","","99.68","","","","-13","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 03:00","2015","02","01","03:00","-7.6","","-8.5","","93","","0.0","","18","","5","","16.1","","99.64","","","","-10","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 04:00","2015","02","01","04:00","-4.2","","-6.1","","87","","0.0","","25","","17","","14.5","","99.58","","","","-10","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 05:00","2015","02","01","05:00","-4.2","","-5.8","","89","","0.0","","26","","13","","12.9","","99.62","","","","-9","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 06:00","2015","02","01","06:00","-4.1","","-5.2","","92","","0.0","","32","","5","","4.8","","99.64","","","","-6","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 07:00","2015","02","01","07:00","-4.5","","-6.0","","89","","0.0","","32","","15","","12.9","","99.72","","","","-10","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 08:00","2015","02","01","08:00","-5.0","","-6.8","","87","","0.0","","34","","15","","6.4","","99.76","","","","-11","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 09:00","2015","02","01","09:00","-6.7","","-9.0","","84","","0.0","","1","","11","","16.1","","99.83","","","","-12","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 10:00","2015","02","01","10:00","-8.0","","-10.5","","82","","0.0","","4","","15","","16.1","","99.91","","","","-14","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 11:00","2015","02","01","11:00","-9.2","","-11.6","","83","","0.0","","1","","15","","16.1","","100.02","","","","-16","","Snow"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 12:00","2015","02","01","12:00","-12.6","","-16.0","","76","","0.0","","2","","17","","16.1","","100.17","","","","-20","","NA"
"-78.36","44.23","PETERBOROUGH A","6166415","2015-02-01 13:00","2015","02","01","13:00","-14.1","","-17.9","","73","","0.0","","3","","17","","16.1","","100.23","","","","-22","","Snow"
